barkod,naziv_spar,marka_spar,cijena_spar,akcijska_cijena_spar,kategorija_spar,naziv_kaufland,marka_kaufland,cijena_kaufland,akcijska_cijena_kaufland,kategorija_kaufland,razlika_eur,jeftiniji,razlika_posto
3850111304118,DET.ČARLI DIVLJA TREŠNJ.450 ml,Čarli,1.29,,Sredstva za čišćenje,Čarli det.za pranje suđa d.trešnja 450ml,Čarli,1.59,,,-0.3,spar,23.3
3850111304149,DET.ČARLI KAMILICA 450 ml,Čarli,1.29,,Sredstva za čišćenje,Čarli kamilica 450 ml,Ćarli,1.59,,,-0.3,spar,23.3
3850108078756,NEKTAR VINDI JABUKA 1 L,Vlastite potrebe,1.29,,Pića,Vindi jabuka nektar 1L brick,Vindi,1.59,,,-0.3,spar,23.3
7322540276855,ULO.LIBRESSE REGULAR 58/1,Libresse,2.15,,Toaletne potrepštine,Libresse Ulošci dnevni extra normal 58/1,Libresse,2.65,,,-0.5,spar,23.3
3858891730264,STEPKA EURO-MILK 1000 g,Euro Milk,1.59,,Hrana,Euromilk Stepka 1% mm 1000 g PET,Euro-Milk,1.29,,,0.3,kaufland,23.3
3850159120015,HRENOVKA PILEĆA VINDIJA 100 g,Cekin,0.85,,Hrana,Cekin Pileća hrenovka standard 100g,Cekin,0.69,,,0.16,kaufland,23.2
3850159120800,HRENOVKA PILEĆA SA SIROM 100 g,Cekin,0.85,,Hrana,Cekin Pileća hrenovka sa sirom 100g,Cekin,0.69,,,0.16,kaufland,23.2
8422424100081,TORTILE MEXIFOODS PŠ 8/1 320 g,,3.19,,Hrana,Mexifoods pšen.tortilja 20cm 8kom 320g,Mexifoods,2.59,,,0.6,kaufland,23.2
3850102516742,KARAMELA KIKI TUTTI FRU. 200 g,Kiki,1.94,,Hrana,Kiki voćna karamela tutti frutti 200g,Kraš,2.39,,,-0.45,spar,23.2
9000100840897,BOJA ZA KOSU SYOSS OLEO 6-80,Syoss,6.49,,Kozmetika,Syoss Oleo boja za kosu 6-80 lješ. plava,Syoss Oleo,7.99,,,-1.5,spar,23.1
9000101086652,BOJA SYOSS OLEO MED.PLAVA 8-60,Syoss,6.49,,Kozmetika,Syoss Oleo boja za kosu 8-60 med.plav,Syoss,7.99,,,-1.5,spar,23.1
9000100999120,BOJA SYOSS OLEO 10-50 PEP.PL.,Syoss,6.49,,Kozmetika,Syoss Oleo 10-50 pepeljasto plava,Syoss Oleo,7.99,,,-1.5,spar,23.1
9000100840743,BOJA SYOSS OLEO 3-10 TAMNOSM.,Syoss,6.49,,Kozmetika,Syoss Oleo boja za kosu 3 -10 tamnosmeđa,Syoss Oleo,7.99,,,-1.5,spar,23.1
9000100840965,BOJA SYOSS OLEO BEŽ PLAVA 8-05,Syoss,6.49,,Kozmetika,Syoss Oleo boja za kosu 8 - 05 bež plava,Syoss Oleo,7.99,,,-1.5,spar,23.1
3859889193221,"VINO ERDUT GRAŠEVINA NL 0,75 L",,6.49,,Pića,"Vina Erdut Vino bij.Graševina kval.0,75L",Vina Erdut,7.99,,,-1.5,spar,23.1
9000100927055,BOJA SYOSS OLEO INTENSE 4-86,Syoss,6.49,,Kozmetika,Syoss Oleo 4-86 čokoladno smeđa,Syoss Oleo,7.99,,,-1.5,spar,23.1
9000100814461,BOJA SYOSS OLEO PR.PLAVA 7-10,Syoss,6.49,,Kozmetika,Syoss Oleo boja za kosu 7-10priro. plava,Syoss Oleo,7.99,,,-1.5,spar,23.1
3859889193450,"VINO ERDUT ROSE NL 0,75L",,6.49,,Pića,"Vina Erdut Vino Rose kvalitetno 0,75 L",Vina Erdut,7.99,,,-1.5,spar,23.1
9000100840835,BOJA SYOSS OLEO 4-23 VIN.CRV.,Syoss,6.49,,Kozmetika,Syoss Oleo boja za kosu 4-23 vinsko crve,Syoss Oleo,7.99,,,-1.5,spar,23.1
9000100814911,BOJA SYOSS OLEO ZL.SME.4-60,Syoss,6.49,,Kozmetika,Syoss Oleo boja za kosu 4-60 zlatno smeđ,Syoss Oleo,7.99,,,-1.5,spar,23.1
9000101661187,BOJA SYOSS OLEO CRV.ĐUM.7-77,Syoss,6.49,,Kozmetika,Syoss Boja za kosu Oleo 7-77,Syoss,7.99,,,-1.5,spar,23.1
9000100814553,BOJA SYOSS OLEO T.BAKR.6-76,Syoss,6.49,,Kozmetika,Syoss Oleo boja za kosu 6-76 topla bakre,Syoss Oleo,7.99,,,-1.5,spar,23.1
9000100814645,BOJA SYOSS OLEO TAMNPL.6-10,Syoss,6.49,,Kozmetika,Syoss Oleo boja za kosu 6-10 tamnoplava,Syoss Oleo,7.99,,,-1.5,spar,23.1
9000100814379,BOJA SYOSS OLEO SV.PLA. 9-10,Syoss,6.49,,Kozmetika,Syoss Oleo boja za kosu 9-10 svijetlopla,Syoss Oleo,7.99,,,-1.5,spar,23.1
3859889193962,"VINO ERDUT PINOT GRIGIO 0,75 L",,6.49,,Pića,"Vina Erdut Vino bijelo Pinot Grigio0,75L",Vina Erdut,7.99,,,-1.5,spar,23.1
3850102516704,KARAME.KIKI TUTTI FRUTTI 100 g,Kraš,1.05,,Hrana,B_Kiki Tutti Frutti 100g,Ki-Ki,1.29,,,-0.24,spar,22.9
3850102516735,KARAMELA KIKI JAGODA 100 g,Kiki,1.05,,Hrana,Kiki jagoda 100 g,Ki-Ki,1.29,,,-0.24,spar,22.9
3850102005871,KARAMELA KIKI PLUS 100 g,Kiki,1.05,,Hrana,Kiki karamela plus C 100 g,Ki-Ki,1.29,,,-0.24,spar,22.9
3850102005901,KARAMELA KIKI PUNIOZA MIX 90 g,Kiki,1.05,,Hrana,B_Kiki bomboni punioza mix 90 g,Kiki,1.29,,,-0.24,spar,22.9
3858889832291,"VINO PP ORAHOV.CAB.SA.0,75 L",,5.69,,Pića,"Orahovica Cabernet Sauv.kv.vino  0,75l",Orahovica,6.99,,,-1.3,spar,22.8
3850158200879,GIN EMPIRE MARASKA 1 L,Maraska,13.52,,Pića,"Maraska Gin 37,5 % 1 L",Maraska,16.59,,,-3.07,spar,22.7
5901964014162,GEL I PILING EVELI. 3U1 200 ml,Eveline,3.09,,Kozmetika,Eveline pure control sos 3u1 200ml,Eveline,3.79,,,-0.7,spar,22.7
